            2MASS_ID   B_mag   V_mag   I_mag   J_mag   H_mag   K_mag  Period
   03450166+1933337     9.92    9.42  -99.00    8.40    8.23    8.15  -99.00
   03450287+2505198   -99.00   18.54   15.37   13.74   13.16   12.85    0.44
   03450326+2350219    12.87   11.97   10.97   10.26    9.84    9.73  -99.00
   03450400+2515282    11.43   10.73    9.97    9.44    9.15    9.04    3.79
   03450499+2346067   -99.00   19.30   15.60   13.75   13.20   12.86  -99.00
   03450528+2342097     9.35    8.96    8.49    8.20    8.04    8.00  -99.00
   03450531+2529112   -99.00   15.99   13.77   12.38   11.72   11.48    3.17
   03450653+2415486     8.92    8.58    8.16    7.89    7.77    7.74  -99.00
   03450678+2336517   -99.00   19.40   15.40   13.59   13.01   12.66  -99.00
   03450820+2617330    12.31   11.49  -99.00    9.95    9.51    9.44    5.26
   03450867+2238306   -99.00   18.10   15.00   13.35   12.73   12.48  -99.00
   03450903+2532492   -99.00   18.20   15.20   13.66   12.99   12.72  -99.00
   03450973+2450213     5.58    5.65    5.68    5.74    5.84    5.81  -99.00
   03450987+2142165    10.52    9.95  -99.00    8.90    8.69    8.59    2.93
   03451081+2302584   -99.00   17.81   15.35   13.23   12.56   12.35  -99.00
   03451198+2435103    15.14   13.82  -99.00   11.41   10.76   10.56    4.33
   03451214+2321532   -99.00   17.64   14.91   13.15   12.52   12.24    2.99
   03451242+2241511   -99.00   17.80   15.00   13.19   12.53   12.27  -99.00
   03451250+2428021     4.20    4.30    4.37    4.67    4.59    4.50  -99.00
   03451260+2353453   -99.00   20.41   16.55   14.83   14.21   13.88  -99.00
   03451313+2415238   -99.00   19.80   15.60   14.08   13.44   13.17  -99.00
   03451352+2505159    14.44   13.33   11.94   11.03   10.40   10.22    0.53
   03451392+2635182    12.92   12.02  -99.00   10.39    9.93    9.81    6.44
   03451421+2505196    15.77   13.60  -99.00   11.66   10.93   10.78    0.53
   03451534+2517221    12.04   11.26   10.35    9.71    9.32    9.23    5.20
   03451581+2506369   -99.00   15.61   13.27   11.87   11.22   11.03  -99.00
   03451612+2407162   -99.00   16.00   13.63   12.48   11.85   11.63    2.19
   03451664+2434325    17.75   16.18   13.70   12.32   11.65   11.43    0.85
   03451698+2515478    17.85   16.20   13.52   12.03   11.42   11.18    0.69
   03451814+2505583    15.73   14.37   12.65   11.47   10.79   10.65    5.75
   03452085+2455194     9.44    9.00    8.43    8.08    7.93    7.84  -99.00
   03452118+2343389    13.88   12.68   11.24   10.15    9.61    9.40    0.43
   03452167+2432373   -99.00   17.60   14.60   13.25   12.62   12.31  -99.00
   03452219+2328182    13.42   12.40   11.28   10.47    9.96    9.85    7.50
   03452349+2451029    16.81   15.28   13.14   11.93   11.21   11.04    1.25
   03452412+2453095    10.17    9.65    9.05    8.69    8.57    8.42  -99.00
   03452597+2325487    12.98   12.04   10.91   10.32    9.82    9.70  -99.00
   03452613+2402065     8.26    8.05    7.78    7.56    7.50    7.46  -99.00
   03452655+2231322   -99.00   17.40   14.70   13.10   12.56   12.25    1.21
   03452697+2413267   -99.00   18.60   15.80   14.22   13.59   13.29  -99.00
   03452750+2337572   -99.00   18.80   15.70   14.11   13.54   13.26  -99.00
   03452772+2310134   -99.00   16.88   14.25   12.63   11.95   11.69  -99.00
   03452888+2728076    17.40   15.84   13.37   12.07   11.45   11.19  -99.00
   03452957+2345379    14.94   13.64   12.12   10.97   10.40   10.34    7.09
   03453021+2418455   -99.00   15.74   13.35   12.05   11.35   11.13    2.20
   03453293+2418116    14.91   13.52   12.02   11.06   10.40   10.22    0.40
   03453445+2427478     8.94    8.59    8.33    7.85    7.71    7.67  -99.00
   03453539+2404595    10.73   10.11    9.37    8.92    8.67    8.56    0.29
   03453671+2439068   -99.00   16.66   13.83   12.26   11.60   11.35    0.33
   03453777+2420083     7.38    7.22    6.96    6.72    6.63    6.63  -99.00
   03453903+2513278   -99.00   14.76   12.75   11.85   11.12   10.94  -99.00
   03453928+2408206   -99.00   18.90   15.50   13.96   13.34   13.06  -99.00
   03453940+2345154    13.47   12.32   10.83    9.77    9.22    9.01    0.83
   03454016+2437380    10.27    9.71    9.05    8.62    8.34    8.29    0.53
   03454138+2417189     9.99    9.46    8.79    8.36    8.12    8.04  -99.00
   03454168+2541125    16.77   15.30   13.00   11.78   11.07   10.88    0.38
   03454184+2425534    12.07   11.30   10.42    9.80    9.53    9.40    5.23
   03454211+2454215    10.15    9.50    8.82    8.29    8.04    7.94    0.92
   03454244+2503255    14.46   13.40   12.11   11.27   10.65   10.50    2.77
   03454317+2602267   -99.00   17.50   14.70   13.25   12.56   12.33  -99.00
   03454407+2404268    15.63   14.23   12.51   11.51   10.83   10.64    3.84
   03454440+2413132    11.27   10.56    9.77    9.26    8.85    8.75    3.16
   03454692+2144493   -99.00   19.10   15.50   13.77   13.16   12.82  -99.00
   03454881+2308498     6.89    6.85    6.78    6.70    6.73    6.82  -99.00
   03454893+2351103    15.74   14.27   12.51   11.50   10.85   10.70    0.90
   03454960+2422037     3.80    3.87    3.88    4.06    4.12    3.99  -99.00
   03455048+2352262    15.00   13.66   12.09   10.86   10.40   10.17    7.15
   03455163+2402200     8.08    7.88    7.63    7.46    7.36    7.33  -99.00
   03455194+2510019   -99.00   18.70   15.20   13.68   13.05   12.81    0.65
   03455258+2555000   -99.00   17.03   14.63   12.83   12.18   11.90  -99.00
   03455264+2551422    16.76   15.27   12.86   11.57   10.95   10.71  -99.00
   03455274+2327543   -99.00   18.08   15.08   13.26   12.59   12.33  -99.00
   03455376+2428088    16.72   15.23   12.81   11.46   10.82   10.57  -99.00
   03455447+2433162     5.72    5.76    5.74    5.76    5.83    5.78  -99.00
   03455695+2301292   -99.00   17.90   15.10   13.41   12.80   12.58    0.57
   03455879+2620019   -99.00   20.40   15.90   14.09   13.49   13.18  -99.00
   03455918+2348470   -99.00   18.70   15.50   13.96   13.35   13.08  -99.00
   03460091+2212297   -99.00   20.46   16.83   14.82   14.21   13.89  -99.00
   03460223+2536407   -99.00   16.04   13.67   12.14   11.58   11.31  -99.00
   03460275+2344146    13.86   12.61   11.05    9.92    9.45    9.26    3.93
   03460288+2431403     6.41    6.43    6.41    6.40    6.48    6.43  -99.00
   03460366+2552290   -99.00   18.20   15.10   13.57   12.93   12.70  -99.00
   03460381+2527108    15.94   14.51   12.69   11.64   10.98   10.77    4.34
   03460412+2324199    14.00   12.78   11.62   10.54   10.01    9.84    0.58
   03460429+2355408   -99.00   16.70   13.90   12.77   12.07   11.82  -99.00
   03460524+2258539   -99.00   14.21   12.34   11.33   10.65   10.50    8.60
   03460562+2436444   -99.00   15.81   13.50   12.35   11.66   11.44  -99.00
   03460644+2525116   -99.00   17.60   15.10   13.80   13.27   12.84  -99.00
   03460649+2434027    13.86   12.79   11.59   10.79   10.24   10.11    7.06
   03460651+2350204   -99.00   15.20   13.10   11.95   11.15   10.92    3.56
   03460664+2223337    17.42   15.97   13.48   12.07   11.42   11.17  -99.00
   03460689+2433461    14.13   13.05   11.75   10.91   10.34   10.29    7.04
   03460750+2422278    16.04   14.71   12.83   11.71   11.04   10.86    5.17
   03460776+2452004    13.10   12.08   10.87   10.06    9.52    9.36    6.83
   03460836+2320510    15.02   13.79   12.26   11.26   10.41   10.40  -99.00
   03460949+2608197    12.93   11.88  -99.00    9.97    9.42    9.30    8.07
   03460958+2242374   -99.00   17.30   14.64   12.78   12.15   11.90  -99.00
   03460989+2440250    16.72   15.20   12.81   11.47   10.85   10.59    2.00
   03461005+2320240    10.76   10.15    9.46    8.97    8.70    8.66    2.85
   03461008+2600092   -99.00   19.30   15.80   14.15   13.47   13.24  -99.00
   03461174+2437203    12.58   11.71  -99.00   10.06    9.63    9.55    5.91
   03461268+2307428     9.26    8.66    8.00    7.57    7.33    7.28  -99.00
   03461286+2403158    15.46   14.20   12.48   11.43   10.78   10.60    1.39
   03461384+2242198   -99.00   18.30   15.00   13.37   12.79   12.46  -99.00
   03461583+2202410    18.32   16.71   14.22   12.77   12.11   11.84  -99.00
   03461600+2411234     8.29    7.97    7.57    7.29    7.18    7.11  -99.00
   03461793+2441095   -99.00   16.20   13.90   12.56   11.91   11.69    5.49
   03461799+2329119    11.42   10.58    9.59    8.91    8.59    8.50    4.08
   03461933+2052472    12.39   11.55  -99.00    9.99    9.61    9.52    5.93
   03461942+2602357   -99.00   14.74   12.82   11.81   11.15   10.97    8.99
   03461958+2356541     4.12    4.18    4.16    4.23    4.31    4.22  -99.00
   03461984+2459015   -99.00   17.40   14.40   12.84   12.19   11.97    0.34
   03462047+2447077    15.30   13.96   12.34   11.34   10.69   10.54    6.58
   03462135+2433525   -99.00   18.90   15.70   13.98   13.35   13.07  -99.00
   03462267+2434126    11.06   10.41    9.71    9.27    8.99    8.92    3.09
   03462346+2401514   -99.00   18.50   15.10   13.69   13.09   12.85  -99.00
   03462372+2634234   -99.00   18.60   15.20   13.70   13.13   12.84    0.61
   03462462+2428465   -99.00   18.30   14.80   13.41   12.78   12.54    0.89
   03462517+2126176    18.62   17.01   14.10   12.37   11.75   11.52  -99.00
   03462538+2409365   -99.00   15.83   13.37   12.02   11.37   11.14    0.32
   03462699+2427141   -99.00   17.10   14.20   12.94   12.25   12.05  -99.00
   03462728+2415181     7.51    7.40    7.28    7.12    7.11    7.12  -99.00
   03462735+2508080    11.17   10.52    9.81    9.37    9.06    8.99    1.72
   03462768+2348457   -99.00   19.10   15.20   13.70   13.02   12.65  -99.00
   03462777+2335337    14.23   13.02   11.52   10.59   10.01    9.82    5.22
   03462816+2248581   -99.00   19.70   15.80   14.15   13.51   13.23  -99.00
   03462841+2426021    11.85   11.10   10.26    9.64    9.27    9.16    1.32
   03462862+2445323    15.73   14.34   12.59   11.51   10.82   10.65    9.41
   03463101+2301348   -99.00   19.77   16.47   14.62   14.00   13.73  -99.00
   03463117+2407025    15.60   14.21   12.39   11.29   10.65   10.34    2.42
   03463131+2218198   -99.00   18.10   15.20   13.38   12.82   12.50  -99.00
   03463267+2220178   -99.00   17.53   15.18   13.62   12.88   12.65  -99.00
   03463287+2318191    16.03   14.61   12.72   11.64   10.95   10.78    6.80
   03463420+2337264     8.53    8.16    7.65    7.24    7.12    7.07  -99.00
   03463532+2324424    16.25   14.77   12.85   11.69   10.97   10.72    0.74
   03463552+2401355   -99.00   19.00   15.40   13.69   13.11   12.78  -99.00
   03463590+2358013    15.42   14.02  -99.00   11.51   10.83   10.66    5.45
   03463606+2304174   -99.00   17.70   15.01   12.91   12.30   12.05  -99.00
   03463726+2420366    13.35   12.25   10.97   10.12    9.52    9.40    7.50
   03463767+2347159    10.93   10.20    9.43    8.93    8.58    8.53  -99.00
   03463777+2444517    12.75   11.83   10.89   10.22    9.78    9.67    0.87
   03463839+2255112     9.92    9.42    8.84    8.48    8.29    8.15  -99.00
   03463878+2457346    10.86   10.25    9.55    9.10    8.85    8.76    2.32
   03463889+2431132    14.48   13.29   11.89   11.10   10.48   10.27    7.96
   03463932+2406116     9.75    9.29    8.75    8.43    8.23    8.19  -99.00
   03463938+2401468    13.30   12.32   11.24   10.45    9.99    9.86    6.42
   03463999+2306373     9.85    9.37    8.83    8.47    8.28    8.24  -99.00
   03464024+2329520    13.18   12.18   10.93   10.03    9.50    9.34    0.52
   03464025+2543536   -99.00   17.11   14.46   12.93   12.27   12.02  -99.00
   03464026+2455517    15.48   14.09   12.30   11.09   10.56   10.38    5.06
   03464317+2337222   -99.00   18.90   15.70   14.09   13.40   13.10  -99.00
   03464358+2359425    17.67   16.12   13.77   12.47   11.86   11.57  -99.00
   03464477+2444586   -99.00   19.50   15.90   14.22   13.63   13.35  -99.00
   03464576+2527304    18.43   16.87   14.21   12.81   12.19   11.96  -99.00
   03464706+2254525    11.12   10.48    9.77    9.31    9.03    8.93    3.00
   03464718+2520534   -99.00   18.70   15.00   13.41   12.77   12.53    0.33
   03464831+2418060    17.77   16.24   13.57   12.56   11.92   11.72    3.70
   03464878+2304074   -99.00   16.04   13.83   12.33   11.69   11.42    0.28
   03464920+2436001    16.63   15.10   13.05   11.90   11.20   11.00    8.22
   03465008+2331563   -99.00   17.80   14.80   13.23   12.66   12.39    2.14
   03465053+2314211    10.48    9.94    9.27    8.87    8.59    8.55  -99.00
   03465259+2338433   -99.00   18.50   14.80   13.18   12.48   12.20  -99.00
   03465326+2252513    12.62   11.74  -99.00   10.23    9.82    9.72    6.15
   03465360+2417151   -99.00   16.27   13.53   12.06   11.46   11.21    0.66
   03465373+2335009    11.17   10.55    9.85    9.35    9.09    9.00  -99.00
   03465403+2514449    17.84   16.19   13.76   12.41   11.71   11.49    2.69
   03465491+2447468    11.13   10.49    9.79    9.27    9.01    8.98  -99.00
   03465530+2322495   -99.00   19.40   15.80   14.19   13.59   13.33  -99.00
   03465576+2356243   -99.00   18.40   14.70   13.23   12.60   12.31  -99.00
   03465709+2315025   -99.00   15.47   13.24   12.01   11.35   11.13    1.21
   03465815+2333391   -99.00   18.10   15.20   13.68   13.08   12.85  -99.00
   03465931+2401429   -99.00   17.60   14.40   13.01   12.40   12.11    0.46
   03465940+2431124     6.85    6.83    6.76    6.70    6.73    6.69  -99.00
   03465947+2452464   -99.00   18.40   14.90   13.22   12.65   12.35    0.34
   03470029+2428248   -99.00   17.80   14.80   13.16   12.55   12.25  -99.00
   03470141+2329419    12.28   11.45   10.58   10.04    9.64    9.53    5.97
         dummystring    8.63    8.27    7.83    7.54    7.37    7.33  -99.00
   03470358+2409349    15.92   14.56   12.72   11.60   10.89   10.72    0.30
   03470376+2336588    17.03   15.35   12.89   11.56   10.85   10.60    2.47
   03470379+2011452    16.06   14.62   12.69   11.52   10.82   10.68    8.94
   03470421+2359426     8.66    8.36    8.02    7.77    7.66    7.64  -99.00
   03470474+2522502    17.91   16.35   13.61   12.18   11.53   11.26    0.47
   03470678+2342546    13.33   12.33   11.25   10.42    9.99    9.84    7.63
   03470734+2313349    14.71   13.52   12.09   11.18   10.27   10.40    0.39
   03470813+2418246   -99.00   16.95   14.26   12.78   12.18   11.90    1.83
   03470853+2342389    14.86   13.51  -99.00   10.72   10.10    9.90    2.65
   03470941+2415349   -99.00   19.71   16.26   14.48   13.92   13.56  -99.00
   03470943+2344318    16.69   15.22   12.85   11.55   10.92   10.66    1.21
   03471005+2416360     9.93    9.46    8.92    8.53    8.33    8.28  -99.00
   03471102+2413517   -99.00   19.34   16.03   14.31   13.69   13.39    0.40
   03471185+2413539   -99.00   19.52   15.89   14.06   13.48   13.13  -99.00
   03471352+2342515    13.55   12.53   11.43   10.62   10.15   10.01    8.18
   03471365+2349535    17.13   15.78   13.31   11.94   11.34   11.09    0.53
   03471480+2522186    12.48   11.63  -99.00   10.05    9.52    9.52    4.15
   03471528+2506554   -99.00   16.48   13.82   12.39   11.76   11.48  -99.00
   03471537+2326061   -99.00   18.10   15.00   13.43   12.86   12.50  -99.00
   03471656+2407420     9.11    8.64    8.09    7.77    7.54    7.49  -99.00
   03471806+2423267    13.85   12.70   11.33   10.49    9.83    9.72    4.56
   03471814+2402114    15.42   14.02   12.14   11.02   10.27   10.19    2.09
   03471935+2408208     8.52    8.27    7.97    7.77    7.63    7.64  -99.00
   03472083+2505123   -99.00   15.93   13.52   12.11   11.36   11.14    1.37
   03472088+2531331    10.41    9.85  -99.00    8.72    8.46    8.44    0.84
   03472096+2348121     7.07    7.04    7.01    6.85    6.92    6.89  -99.00
   03472103+2406586     6.34    6.32    6.30    6.23    6.25    6.26  -99.00
   03472183+2553525   -99.00   15.20   13.10   11.93   11.23   11.03  -99.00
   03472192+2622476   -99.00   18.20   14.90   13.47   12.89   12.56  -99.00
   03472267+2344071   -99.00   17.50  -99.00   13.31   12.69   12.44  -99.00
   03472289+2255196     8.38    8.12    7.83    7.62    7.54    7.52  -99.00
   03472296+2450562   -99.00   17.16   14.36   12.69   12.10   11.85  -99.00
   03472322+2214403    15.93   14.54   12.72   11.68   11.02   10.84    4.95
   03472385+2308571   -99.00   17.33   14.51   12.94   12.32   12.07    1.66
   03472405+2435184     7.92    7.71    7.45    7.15    7.04    7.00  -99.00
   03472440+2354529     7.31    7.24    7.11    7.14    7.16    7.14  -99.00
   03472511+2415173   -99.00   19.10   15.10   13.93   13.35   13.06  -99.00
   03472578+2508330    18.68   16.91   13.98   12.36   11.71   11.45    0.12
   03472583+2220576    16.53   14.98   12.22   11.21   10.57   10.37  -99.00
   03472676+2338027   -99.00   17.80   14.70   13.14   12.58   12.29  -99.00
   03472682+2340421     7.95    7.79    7.61    7.41    7.37    7.34  -99.00
   03472810+2326536   -99.00   17.11   14.32   12.81   12.14   11.90  -99.00
   03472878+2222356   -99.00   14.60   12.55   11.44   10.79   10.60    1.29
   03472908+2406184     2.78    2.87    2.88    2.73    2.73    2.64  -99.00
   03472945+2417180     6.90    6.83    6.74    6.64    6.64    6.61  -99.00
   03473057+2616448   -99.00   17.00   14.40   12.92   12.26   12.04  -99.00
   03473059+2422141   -99.00   15.87   13.60   12.25   11.57   11.37    2.78
   03473345+2341330    17.21   15.74   13.16   11.76   11.13   10.93    0.60
   03473367+2441032    13.94   12.86   11.62   10.81   10.24   10.13    8.41
   03473415+2543061   -99.00   17.70   14.80   13.28   12.67   12.43  -99.00
   03473416+2144486    13.46   12.43  -99.00   10.53   10.01    9.90    7.60
   03473520+2532382   -99.00   14.62   12.77   11.70   11.02   10.83  -99.00
   03473585+2452269   -99.00   18.78   15.31   13.66   13.09   12.84    0.42
   03473603+2328270   -99.00   19.20   15.90   14.15   13.55   13.28  -99.00
   03473800+2328051    14.77   13.51   12.10   11.08   10.54   10.32    8.37
   03473804+2449110   -99.00   16.35   13.86   12.57   11.94   11.70  -99.00
   03473806+2453306    15.55   14.22   12.50   11.46   10.78   10.61    0.58
   03473935+2427322   -99.00   17.56   14.74   13.05   12.44   12.16    0.52
   03473977+2300047   -99.00   18.73   15.68   14.13   13.55   13.22  -99.00
   03474037+2418071    15.31   13.97   12.30   11.14   10.52   10.34    0.31
   03474044+2421525    11.17   10.51    9.79    9.34    9.07    8.95    3.25
   03474097+2255480    13.58   12.49   11.14   10.06    9.51    9.36    0.45
   03474117+2344251    15.26   13.98   12.37   11.38   10.75   10.57    0.78
   03474143+2358190    14.85   13.58   12.11   11.07   10.46   10.31    0.48
   03474464+2212443   -99.00   20.00   16.45   14.78   14.18   13.83  -99.00
   03474464+2342033   -99.00   18.20   15.14   13.57   12.94   12.70  -99.00
   03474638+2403025    17.26   15.73   13.47   12.19   11.53   11.33  -99.00
   03474785+2513345   -99.00   18.03   14.70   13.01   12.38   12.09  -99.00
   03474792+2233200    16.82   15.25   12.81   11.44   10.79   10.54    0.35
   03474811+2313053    11.92   11.15   10.33    9.76    9.44    9.32    5.06
   03474977+2425433   -99.00   18.18   15.23   13.54   12.94   12.69  -99.00
   03475094+2430188    17.72   16.13   13.78   12.35   11.68   11.47    1.42
   03475195+2339482   -99.00   19.00   15.55   13.90   13.32   13.07  -99.00
   03475252+2356286    10.41    9.87    9.24    8.85    8.64    8.57  -99.00
   03475286+2259341   -99.00   17.64   14.96   13.04   12.44   12.16  -99.00
   03475415+2239258   -99.00   18.20   15.30   13.74   13.17   12.88  -99.00
   03475526+2319060   -99.00   17.33   14.70   13.00   12.36   12.15    1.37
   03475664+2631512   -99.00   15.80   13.30   11.90   11.29   11.03  -99.00
   03475759+2637454    12.61   11.72  -99.00   10.13    9.71    9.61    6.46
   03475973+2443528    14.71   13.51   12.00   10.95   10.32   10.16    0.74
   03475974+2238305   -99.00   16.70   13.90   11.84   11.31   11.00  -99.00
   03480497+2324138   -99.00   20.17   16.57   14.85   14.25   13.94  -99.00
   03480571+2238096   -99.00   17.90   15.00   13.28   12.71   12.40  -99.00
   03480581+2302030    17.85   16.16   13.74   12.43   11.79   11.55    1.56
   03480664+2400069   -99.00   18.00   15.02   13.42   12.85   12.54  -99.00
   03480718+2408315     9.83    9.28    8.64    8.22    7.99    7.94  -99.00
   03480767+2518552    15.21   13.94   12.31   11.17   10.50   10.34    0.45
   03480796+2344238   -99.00   17.30   14.50   13.03   12.43   12.18    0.51
   03480881+2501458    17.71   16.19   13.65   12.20   11.48   11.25  -99.00
   03480894+2342235   -99.00   18.40   15.26   13.61   13.01   12.77  -99.00
   03480921+2358409   -99.00   17.90   15.10   13.52   12.90   12.65  -99.00
   03481017+2300041    15.94   14.55   12.84   11.81   11.17   11.00    6.48
   03481031+1918092    14.30   13.10   11.75   10.94   10.35   10.22    4.26
   03481098+2330253    15.47   14.10   12.48   11.53   10.87   10.69    1.15
   03481244+2635017   -99.00   13.80  -99.00   11.15   10.49   10.36    4.70
   03481330+2358471    18.85   17.81   14.83   13.27   12.67   12.39  -99.00
   03481354+2419063     8.63    8.27    7.83    7.53    7.39    7.35  -99.00
   03481377+2337596   -99.00   17.72   14.79   13.01   12.39   12.11    1.83
   03481523+2326056   -99.00   17.60   14.90   13.42   12.79   12.56  -99.00
   03481526+2342036   -99.00   16.80   14.10   12.67   12.04   11.78  -99.00
   03481608+2335155   -99.00   18.90   15.30   13.56   12.98   12.65  -99.00
   03481636+2620059   -99.00   17.50  -99.00   13.20   12.57   12.29  -99.00
   03481642+2232405    16.07   14.67   12.75   11.55   10.90   10.69    0.21
   03481662+2630120   -99.00   18.20   15.00   13.42   12.85   12.55  -99.00
   03481686+2512546     9.60    9.13    8.55    8.14    7.91    7.86  -99.00
   03481691+2338125    10.69   10.13    9.48    9.04    8.82    8.74  -99.00
   03481712+2353253    11.02   10.40    9.72    9.26    8.98    8.89    3.85
   03481729+2430160    15.69   14.29  -99.00   11.51   10.86   10.69    5.60
   03481736+2348239   -99.00   18.40   15.26   13.65   13.09   12.78  -99.00
   03481760+2204013   -99.00   17.80   15.10   13.45   12.86   12.61  -99.00
   03481769+2502523    11.66   10.94   10.15    9.59    9.26    9.16    4.49
   03481983+2336121    17.66   16.12   13.74   12.39   11.71   11.47    0.52
   03482028+2454552    18.77   17.09   14.11   12.49   11.86   11.60  -99.00
   03482081+2325165     5.38    5.45    5.46    5.50    5.59    5.56  -99.00
   03482264+2252217    17.64   16.14   13.67   12.34   11.73   11.48  -99.00
   03482269+2327431   -99.00   18.50   15.20   13.64   13.03   12.81  -99.00
   03482276+2358212    16.34   14.84   12.66   11.39   10.76   10.51    2.47
   03482280+2448537   -99.00   17.10   14.48   12.89   12.28   12.02  -99.00
   03482323+2839359    15.97   14.57   12.60   11.41   10.72   10.56  -99.00
   03482481+2224262    16.99   15.44   13.03   11.71   11.11   10.86  -99.00
   03482523+2414262   -99.00   17.63   14.44   12.85   12.25   11.99  -99.00
   03482550+2212417    15.26   14.02   12.48   11.38   10.78   10.60    0.40
   03482603+2514411    17.02   15.46   13.25   11.96   11.33   11.09    1.63
   03482616+2402544    10.57   10.01    9.39    8.98    8.72    8.66  -99.00
   03482658+2311299   -99.00   17.87   14.45   12.19   11.60   11.36    0.46
   03482802+2318027    13.69   12.66   11.43   10.52    9.96    9.84    0.24
   03482975+2358060   -99.00   19.30   15.50   13.92   13.30   13.02  -99.00
   03483009+2420441     7.08    6.95    6.79    6.61    6.59    6.56  -99.00
   03483104+2416535    17.56   15.97   13.58   12.25   11.60   11.34  -99.00
    03483183+2401590  -99.00   18.30   15.10   13.73   13.12   12.85    0.49
   03483377+2401591   -99.00   18.20   15.43   13.78   13.18   12.93  -99.00
   03483451+2326053    10.95   10.34    9.66    9.20    8.98    8.87    2.89
   03483480+2410523     9.52    9.05    8.45    8.06    7.85    7.77  -99.00
   03483518+2253425   -99.00   20.70   17.02   14.80   14.10   13.75  -99.00
   03483548+2412033   -99.00   19.67   16.12   14.10   13.49   13.21    0.52
   03483764+2246095    16.01   14.57   12.69   11.50   10.82   10.65    4.15
   03483990+2412430   -99.00   16.68   14.12   12.72   12.04   11.85  -99.00
   03484042+2436342   -99.00   17.71   15.09   13.20   12.60   12.33  -99.00
   03484097+2314176   -99.00   17.66   14.91   12.88   12.33   12.03  -99.00
   03484213+2500285    18.24   16.61   14.04   12.59   11.95   11.72  -99.00
   03484267+2427197   -99.00   19.29   16.09   14.37   13.81   13.49  -99.00
   03484312+2632213   -99.00   17.70   14.80   13.25   12.62   12.38  -99.00
   03484389+2315354     8.65    8.39    8.05    7.76    7.70    7.63  -99.00
   03484542+2320201    14.77   13.55   12.08   11.06   10.38   10.38    3.88
   03484567+2542018   -99.00   16.90   14.20   12.63   11.97   11.68  -99.00
   03484600+2410128   -99.00   18.00   15.18   13.52   12.93   12.66  -99.00
   03484877+2324483   -99.00   19.70   15.80   14.06   13.47   13.21  -99.00
   03484894+2416027    11.78   10.93   10.01    9.33    8.91    8.81    5.07
   03484932+2358383    13.61   12.65   11.50   10.66   10.13    9.99    0.55
   03485043+2244302   -99.00   21.24   17.51   15.09   14.49   14.13  -99.00
   03485065+2304303   -99.00   19.20   15.60   13.99   13.42   13.11  -99.00
   03485154+2412174    17.55   16.09   13.60   12.19   11.51   11.26  -99.00
   03485564+2421404   -99.00   20.60   16.85   15.04   14.43   14.10  -99.00
   03485703+2636541    16.91   15.35   12.97   11.55   10.93   10.70  -99.00
   03485734+2419438   -99.00   16.00   13.34   11.91   11.32   11.01  -99.00
   03485827+2305393   -99.00   16.20   14.00   12.54   11.91   11.67  -99.00
   03485848+2312044    12.41   11.54   10.59    9.91    9.52    9.38    3.04
   03485896+2506142    15.26   13.91   12.33   11.41   10.74   10.57   12.02
   03490097+2454102   -99.00   17.11   14.40   12.69   12.07   11.81  -99.00
   03490100+2258496    16.94   15.39   13.23   12.03   11.35   11.15    8.41
   03490148+2411383   -99.00   17.70   14.90   13.37   12.77   12.51    0.41
   03490232+2315088    12.56   11.71   10.80   10.14    9.76    9.66    3.06
   03490585+2344232    16.76   15.31   12.94   11.64   11.00   10.79    0.59
   03490591+2306222   -99.00   17.52   14.94   13.13   12.49   12.24  -99.00
   03490610+2346525    11.69   10.87    9.89    9.17    8.72    8.60    0.78
   03490883+2553488   -99.00   16.07   13.57   12.31   11.68   11.38    0.40
   03490974+2403121     3.53    3.62    3.65    3.80    3.86    3.88  -99.00
   03491102+2420513   -99.00   17.43   14.64   13.05   12.42   12.18    2.01
   03491121+2408120     5.01    5.09    5.08    5.09    5.07    4.94  -99.00
   03491123+2210364    15.11   13.80   12.10   10.89   10.29   10.10    5.60
   03491127+2333189    15.60   14.23   12.50   11.41   10.77   10.57    1.42
   03491172+2438117    11.06   10.44    9.74    9.25    9.03    8.95    4.67
   03491219+2353126     8.35    8.13    7.88    7.67    7.60    7.58  -99.00
   03491230+2313421    15.85   14.48   12.66   11.53   10.90   10.72    5.32
   03491264+2542075   -99.00   17.11   14.47   12.60   11.95   11.70  -99.00
   03491537+2434022    15.78   14.42   12.55   11.34   10.67   10.49    0.40
   03491561+2322495   -99.00   19.47   16.05   14.34   13.71   13.41  -99.00
   03491640+2403491   -99.00   15.00  -99.00   11.69   11.02   10.75  -99.00
   03491679+2423461     7.57    7.46    7.34    7.28    7.29    7.26  -99.00
   03491680+2400588   -99.00   18.10   14.40   13.09   12.58   12.24  -99.00
   03492029+2525426   -99.00   17.40   14.80   13.21   12.60   12.33  -99.00
   03492055+2549048    15.32   13.97   12.34   11.32   10.67   10.49    6.68
   03492059+2446360    13.61   12.60   11.40   10.62   10.03    9.93    0.56
   03492124+2441411   -99.00   20.30   16.10   14.41   13.79   13.51  -99.00
   03492148+2339066   -99.00   17.15   14.41   12.83   12.24   11.98    0.34
   03492173+2422515     6.55    6.57    6.57    6.60    6.63    6.65  -99.00
   03492191+2454435   -99.00   17.48   15.23   13.62   13.05   12.75  -99.00
   03492214+2547379   -99.00   18.00   15.10   13.46   12.81   12.57  -99.00
   03492405+2350214    12.13   11.35  -99.00    9.85    9.48    9.38    5.82
   03492559+2302503   -99.00   18.92   15.72   14.09   13.47   13.21  -99.00
