            2MASS_ID   B_mag   V_mag   I_mag   J_mag   H_mag   K_mag  Period
   03394797+2350570   -99.00   17.24   14.24   12.68   12.07   11.83  -99.00
   03394850+2346042   -99.00   18.92   15.72   14.04   13.44   13.13  -99.00
   03394970+2303265   -99.00   18.50   15.40   13.67   13.07   12.81  -99.00
   03395371+2643011    10.92   10.27  -99.00    9.00    8.78    8.66  -99.00
   03400018+2326060   -99.00   15.63   13.24   11.94   11.31   11.10    0.28
   03400180+2259207   -99.00   15.10   13.20   11.77   11.14   10.92  -99.00
   03400182+2504198   -99.00   19.40   15.80   13.85   13.27   12.90  -99.00
   03400186+2446261    18.90   17.69   14.84   13.31   12.71   12.48  -99.00
   03400307+2744259    10.11    9.62  -99.00    8.64    8.48    8.37    0.77
   03400502+2531368   -99.00   15.90   14.00   12.94   12.24   12.04  -99.00
   03400574+2611469    12.02   11.22  -99.00    9.76    9.38    9.26    6.53
   03400700+2238477   -99.00   19.20   15.60   13.92   13.29   13.05    0.48
   03400709+2413036   -99.00   19.57   16.16   14.37   13.81   13.54  -99.00
   03401091+2606410   -99.00   18.20   15.20   13.63   13.02   12.75  -99.00
   03401103+2523269   -99.00   18.30   15.30   13.78   13.21   12.89  -99.00
   03401202+2538321    13.06   12.12  -99.00   10.21    9.76    9.58    3.60
   03401273+2309359   -99.00   16.30  -99.00   12.93   12.29   12.09  -99.00
   03401479+2550056   -99.00   17.54   14.86   12.96   12.41   12.14  -99.00
   03401489+2519189   -99.00   16.00   13.60   12.34   11.69   11.51    7.83
   03401664+2755222    18.25   16.70   14.12   12.64   11.98   11.75  -99.00
   03401990+2848574    13.92   12.97   11.85   11.09   10.60   10.49  -99.00
   03402188+2604192    13.20   12.20  -99.00   10.19    9.67    9.52    7.83
   03402304+2529478   -99.00   16.84   14.24   12.53   11.95   11.66    0.93
   03402383+2304093   -99.00   18.20   15.20   13.56   12.96   12.69  -99.00
   03402418+2435042   -99.00   16.16   13.75   12.50   11.83   11.61    4.42
   03402464+2249002   -99.00   14.90   12.66   11.43   10.77   10.56    9.81
   03402560+2406003   -99.00   18.45   15.35   13.76   13.14   12.83  -99.00
   03402626+2321294   -99.00   18.20   15.20   13.51   12.93   12.67  -99.00
   03402695+2414144   -99.00   17.99   14.96   13.44   12.83   12.52  -99.00
   03402958+2333040   -99.00   14.31   12.59   11.66   10.99   10.82    9.92
   03403072+2429143    12.66   11.77  -99.00   10.08    9.66    9.56    6.72
   03403115+2508530    18.72   17.17   14.22   12.59   11.97   11.71    0.30
   03403148+2333024   -99.00   15.17   13.09   11.95   11.27   11.06    2.35
   03403257+2528409   -99.00   19.50   15.80   14.00   13.44   13.18    0.55
   03403436+2340574    11.62   10.89  -99.00    9.59    9.24    9.15    4.46
   03403532+2057569    17.58   15.98   13.59   12.19   11.52   11.30    0.53
   03403586+2609050    11.85   11.14  -99.00    9.80    9.47    9.40    4.13
   03404003+2444091   -99.00   16.20   13.73   12.81   12.20   11.93  -99.00
   03404256+2542197   -99.00   13.09   11.35   10.80   10.24   10.13    6.46
   03404324+2511554   -99.00   15.37   13.33   12.20   11.47   11.28  -99.00
   03404989+2603334    16.02   14.52   12.49   11.36   10.70   10.48  -99.00
   03405042+2325064    11.54   10.84  -99.00    9.53    9.19    9.12    4.34
   03405126+2335543    13.88   12.79   11.57   10.73   10.21   10.08    8.14
   03405180+2313508   -99.00   17.80   14.90   13.21   12.60   12.34  -99.00
   03405446+2254258   -99.00   18.70   15.60   13.89   13.31   13.00  -99.00
   03405503+2220590   -99.00   16.15   13.65   12.36   11.69   11.44    1.33
   03405604+2843393    16.87   15.37   13.28   12.00   11.33   11.13  -99.00
   03410297+2343217   -99.00   17.15   14.29   12.91   12.28   12.00  -99.00
   03411026+2545562   -99.00   17.57   14.49   13.03   12.41   12.17  -99.00
   03411094+2800411    16.22   14.67   12.57   11.42   10.74   10.53  -99.00
   03411379+2323058    15.40   14.05   12.41   11.45   10.79   10.63    9.87
   03411985+2506492   -99.00   18.20   15.10   13.66   13.08   12.83    0.60
   03411998+2237539   -99.00   16.95   14.21   12.85   12.22   11.99  -99.00
   03412467+2523060   -99.00   18.80   15.60   14.05   13.41   13.10  -99.00
   03412531+2232561   -99.00   15.90   13.89   12.59   11.95   11.70  -99.00
   03412688+2401025   -99.00   17.01   13.88   12.40   11.74   11.47  -99.00
   03412782+2342300    11.98   11.20  -99.00    9.76    9.41    9.31    5.45
   03413118+2403249   -99.00   19.00   15.80   13.95   13.34   13.07  -99.00
   03413371+2506486   -99.00   17.30   14.50   12.98   12.34   12.09  -99.00
   03413388+2311451   -99.00   20.41   16.77   15.11   14.48   14.20  -99.00
   03413616+2537095    10.69   10.10  -99.00    8.96    8.66    8.59    1.64
   03413724+2508329   -99.00   18.30   15.30   13.63   13.04   12.79  -99.00
   03413957+2345471   -99.00   14.51   12.69   11.69   11.04   10.87   11.07
   03413983+2452303   -99.00   19.70   15.90   14.24   13.65   13.36  -99.00
   03414708+2251253   -99.00   14.81   12.76   11.73   11.06   10.85   12.10
   03414895+2303235   -99.00   19.37   15.84   14.09   13.50   13.15  -99.00
   03415230+2441579   -99.00   18.90   15.60   13.93   13.35   13.05    0.35
   03415293+2407250   -99.00   18.80   15.70   14.09   13.56   13.22  -99.00
   03415366+2327288    15.39   14.00   12.23   11.15   10.39   10.25    7.23
   03415420+2543473    18.36   16.79   14.19   12.80   12.13   11.91    6.36
   03415864+2257020   -99.00   16.80   14.40   12.75   12.17   11.90  -99.00
   03415867+2342264   -99.00   14.61   12.74   11.74   11.03   10.84    7.93
   03415884+2612214    18.54   17.02   14.32   12.85   12.17   11.95  -99.00
   03415893+2519444    15.70   14.24   12.20   10.98   10.30   10.09    0.38
   03415906+2555153    13.92   12.82   11.60   10.75   10.17   10.07  -99.00
   03415973+2627399   -99.00   18.20   15.00   13.52   12.96   12.64  -99.00
   03420001+2501472   -99.00   17.19   14.66   13.04   12.44   12.16  -99.00
   03420166+2223268   -99.00   17.80   15.00   13.33   12.71   12.43  -99.00
   03420286+2412363   -99.00   16.41   13.80   12.51   11.84   11.61    0.70
   03420291+2355538    17.84   16.25   13.54   12.02   11.36   11.13  -99.00
   03420329+2432134   -99.00   16.36   13.79   12.52   11.86   11.63    2.26
   03420341+2522393   -99.00   18.10   15.00   13.35   12.73   12.44    0.30
   03420383+2442454    14.82   13.46   11.73   10.74   10.10    9.92    6.63
   03420393+2225368    12.72   11.74  -99.00    9.80    9.34    9.16    6.09
   03420414+2216510   -99.00   17.22   15.04   13.54   12.86   12.61  -99.00
   03420470+2553091   -99.00   13.01   11.70   10.78   10.18   10.09    2.90
   03420486+2539478   -99.00   15.58   13.13   11.80   11.11   10.90    0.36
   03420828+2537002   -99.00   17.80   14.60   13.04   12.41   12.16  -99.00
   03420883+2335171   -99.00   15.81   13.44   12.21   11.51   11.31    3.04
   03421059+2218057   -99.00   19.20   16.00   14.19   13.61   13.26  -99.00
   03421090+2405086    17.45   15.95   13.44   12.03   11.37   11.15    0.48
   03421536+2311311   -99.00   19.10   15.70   13.86   13.29   13.00  -99.00
   03421688+2323263   -99.00   17.83   15.22   13.49   12.82   12.57  -99.00
   03421789+2406578   -99.00   18.90   15.50   13.85   13.24   12.93  -99.00
   03421886+2359222   -99.00   14.67   13.07   12.05   11.35   11.17  -99.00
   03422153+2439527    15.89   14.48   12.66   11.58   10.93   10.72    2.99
   03422399+2128245    10.40    9.85  -99.00    8.80    8.60    8.53    2.30
   03422402+2225160    11.03   10.39  -99.00    9.12    8.87    8.76    1.59
   03422626+2351386   -99.00   19.49   16.12   14.32   13.72   13.39  -99.00
   03422627+2414078   -99.00   17.83   15.03   13.22   12.62   12.34  -99.00
   03422628+2253408    15.86   14.45   12.64   11.55   10.88   10.72    4.22
   03422730+2234248   -99.00   17.04   14.45   12.70   12.13   11.86  -99.00
   03422759+2502492    13.73   12.66  -99.00   10.74   10.20   10.06    8.41
   03422864+2501004   -99.00   16.48   14.13   12.57   11.93   11.67    1.39
   03422941+2247261    16.66   15.16   13.07   11.80   11.09   10.92    0.33
   03422949+2223460   -99.00   15.88   13.54   12.31   11.80   11.55  -99.00
   03423120+2449216   -99.00   19.10   15.80   14.02   13.45   13.13  -99.00
   03423626+2322048    19.21   17.60   14.68   13.18   12.58   12.32    1.55
   03424022+2359217    17.07   15.72   13.29   12.02   11.39   11.14    0.26
   03424189+2411583   -99.00   14.37   12.52   11.40   10.73   10.53    4.78
   03424210+2511489   -99.00   19.61   16.05   14.30   13.76   13.39    0.26
   03424238+2330103   -99.00   12.75   11.07   10.34    9.82    9.68    0.34
   03424239+2320218   -99.00   17.04   13.92   12.25   11.67   11.39  -99.00
   03424379+2532064   -99.00   16.53   14.05   12.70   12.08   11.82  -99.00
   03424436+2306164   -99.00   19.00   15.60   13.82   13.24   12.95  -99.00
   03424564+2349229   -99.00   19.50   16.11   14.30   13.69   13.40  -99.00
   03424890+2334487   -99.00   18.60   15.30   13.63   13.06   12.77  -99.00
   03424910+2410156   -99.00   17.08   13.97   12.64   12.06   11.74  -99.00
   03425399+2608163   -99.00   18.70   15.30   13.72   13.15   12.82    0.56
   03425511+2429350     9.95    9.47    8.90    8.51    8.32    8.26  -99.00
   03425653+2404581   -99.00   16.46   13.57   12.08   11.49   11.23    0.82
   03425665+2558504   -99.00   18.00  -99.00   12.82   12.30   11.96    0.57
   03425921+2254033    12.99   12.05  -99.00   10.28    9.85    9.71    7.06
   03425975+2225273    15.36   13.98   12.34   11.45   10.74   10.59  -99.00
   03430293+2440110    12.88   11.96   10.98   10.27    9.81    9.73    6.65
   03430418+2248035    16.72   15.16   12.96   11.68   11.00   10.78    0.31
   03430435+2526122   -99.00   19.00   15.70   13.82   13.17   12.88  -99.00
   03430552+2449285   -99.00   15.21   12.98   11.67   11.01   10.79    0.28
   03430649+2217494   -99.00   19.99   16.57   14.74   14.15   13.79  -99.00
   03430974+2441329    17.97   16.37   13.73   12.29   11.65   11.42    2.03
   03431156+2525231   -99.00   17.51   14.65   12.91   12.30   12.05  -99.00
   03431164+2406526   -99.00   19.50   15.90   14.07   13.46   13.16  -99.00
   03431211+2444453   -99.00   17.16   14.23   12.59   11.93   11.69  -99.00
   03431306+2439194   -99.00   16.05   13.51   12.23   11.51   11.29    0.26
   03431360+2516125    13.08   12.17   11.09   10.25    9.85    9.66    1.19
   03431573+2520296   -99.00   15.57   13.48   12.34   11.70   11.50  -99.00
   03431659+2350018   -99.00   18.48   15.32   13.28   12.64   12.40    0.77
   03431844+2640246    18.02   16.45   13.69   12.16   11.54   11.27  -99.00
   03431900+2247106   -99.00   18.30   15.40   13.63   13.05   12.76  -99.00
   03431902+2226572    12.56   11.58  -99.00    9.64    9.16    9.03    2.92
   03431905+2604441   -99.00   18.00   14.60   13.22   12.61   12.31    0.50
   03432110+2411091   -99.00   19.80   15.90   14.25   13.65   13.35  -99.00
   03432453+2313333    11.23   10.52    9.68    9.10    8.72    8.65    2.77
   03432515+2253445   -99.00   18.70   15.50   13.81   13.19   12.91  -99.00
   03432619+2602308   -99.00   16.56   14.34   12.77   12.13   11.89    1.50
   03432643+2242427   -99.00   17.30   14.60   13.16   12.52   12.27  -99.00
   03432662+2459395    13.73   12.65   11.40   10.48    9.96    9.80    6.75
   03432696+2427098   -99.00   16.89   13.71   12.31   11.68   11.42  -99.00
   03432712+2523152    12.25   11.44  -99.00    9.75    9.31    9.22    0.67
   03432743+2237413   -99.00   19.30   15.90   14.16   13.56   13.25  -99.00
   03432820+2453311   -99.00   17.53   15.04   13.04   12.39   12.17    0.77
   03432873+2409063   -99.00   20.00   15.90   14.15   13.56   13.24  -99.00
   03432988+2439237   -99.00   20.00   16.10   14.35   13.71   13.43  -99.00
